"X-shot","train","batch","learn rate","accuracy"
"5","1000","64","1e-5","0.5173684210526316"
"5","1000","64","1e-5","0.4793421052631579"
"5","1000","64","1.5e-5","0.5786842105263158"
"5","1000","64","1.5e-5","0.44092105263157894"
"5","1000","64","1.5e-5","0.513421052631579"
"5","1000","64","1.5e-5","0.447959"
"5","1000","16","1e-5","0.5418421052631579"
"5","1000","16","1.5e-5","0.556122"
"5","1000","16","1.5e-5","0.516327"
"5","1000","16","1.5e-5","0.521429"
"5","1000","32","1.5e-5","0.429592"
"5","1000","32","1.5e-5","0.481633"
"5","1000","32","1.5e-5","0.527551"
"5","1000","32","1.5e-5","0.387755"
"5","1000","32","1.5e-5","0.5961842105263158"
"5","1000","32","1.5e-5","0.5821052631578948"
"5","1000","32","1.5e-5","0.5836842105263158"
"5","1000","32","1.5e-5","0.5397368421052632"
"5","1000","128","1e-5","0.46131578947368423"
"10","1000","16","1.5e-5","0.7038157894736842"
"10","1000","16","1.5e-5","0.5839473684210527"
"10","1000","16","1e-5","0.65"
"10","1000","64","1e-5","0.6298684210526316"
"10","1000","64","1.5e-5","0.67"
"10","1000","64","1.5e-5","0.6001315789473685"
"10","1000","64","1.5e-5","0.5201315789473685"
"10","1000","64","1.5e-5","0.6831578947368421"
"10","1000","64","1.5e-5","0.6168421052631579"
"10","1000","64","1.5e-5","0.6144736842105263"
"10","4000","16","1e-5","0.6823684210526316"
"10","1000","16","1.5e-5","0.616578947368421"
"10","1000","16","1.5e-5","0.6393421052631579"
"10","1000","32","1.5e-5","0.5572368421052631"
"10","1000","32","1.5e-5","0.662368421052631"
"10","1000","32","1.5e-5","0.5126315789473684"
"10","1000","32","1.5e-5","0.572917"
"10","1000","32","1.5e-5","0.5928947368421053"
"10","1000","32","1.5e-5","0.6928947368421053"
"10","1000","32","1.5e-5","0.5632894736842106"
"10","1000","32","1.5e-5","0.6190789473684211"
"10","1000","32","1.5e-5","0.6580789473684211"
"10","1000","32","1.5e-5","0.5411842105263158"
"10","1000","32","1.5e-5","0.5230263157894737"
"10","1000","32","1.5e-5","0.6343421052631579"
"10","1000","32","1.5e-5","0.613421052631579"
"10","1000","32","1.5e-5","0.5738157894736842"
"10","4000","64","1e-6","0.485"
"10","4000","64","1e-6","0.501257734236"
"20","1000","16","1.5e-5","0.7313157894736843"
"20","1000","16","1.5e-5","0.7101315789473685"
"20","1000","16","1.5e-5","0.7706578947368421"
"20","1000","16","1.5e-5","0.6980263157894737"
"20","1000","16","1.5e-5","0.6619736842105263"
"20","1000","16","1.5e-5","0.7143421052631579"
"20","1000","16","1.5e-5","0.7142105263157895"
"20","1000","16","1e-5","0.7192105263157895"
"20","1000","16","1e-5","0.7253947368421053"
"20","1000","32","1.5e-5","0.7231578947368421"
"20","1000","32","1.5e-5","0.6407894736842105"
"20","1000","32","1.5e-5","0.6547368421052632"
"20","1000","32","1.5e-5","0.6889473684210526"
"20","1000","32","1e-5","0.6160526315789474"
"20","1000","32","1e-5","0.7455263157894737"
"20","1000","32","1.5e-5","0.6565789"
"20","1000","64","1e-5","0.6860526315789474"
"20","1000","64","1.5e-5","0.6565789"
"20","1000","64","1.5e-5","0.6623534475"
"20","1000","64","1.5e-5","0.5812340104"
"20","1000","64","1.5e-5","0.70137345780104"
"20","1000","64","1.5e-5","0.66137345780104"
